"term","estimate","ci_lower","ci_upper","p"
"(Intercept)",0.00222068472936659,0.00102280427325543,0.00482149008973725,1.15028544818377e-06
"Obesity (BMI>=30 vs <30)",3.031622128131,2.287074659128,4.01855387234176,0.000114969692008913
"Age (per year)",1.06730248886426,1.05800533856962,1.07668133723777,1.69556110176296e-06
"Female (vs Male)",0.660402459555129,0.472049804344653,0.923909732770562,0.0459584897250532
"Mexican American (vs NH White)",1.67798003341541,1.16787892648403,2.41088089586254,0.0265501792840542
"Other Hispanic (vs NH White)",1.12976165776914,0.821213225906629,1.55423873252426,0.477879383439817
"Non-Hispanic Black (vs NH White)",1.33184025086945,0.970037628181229,1.82858726538451,0.1197034501784
"Non-Hispanic Asian (vs NH White)",2.39199492303362,1.52531799112941,3.75111271557355,0.00672147602042686
"Other/Multiracial (vs NH White)",1.95185191609382,1.37325327336709,2.77423398599881,0.00737654403462082
