date,stars,forks,watchers,release_downloads,views_14d,unique_views_14d,clones_14d,unique_clones_14d,zenodo_views,zenodo_downloads
2026-06-06,134,36,3,220,1636,560,8566,791,,
2026-06-08,136,36,3,237,,,,,0,0
